SampleID	SamplePoint	Lake	Run	Type	Surround	UpstreamBuild	UpstreamFarm	UpstreamPast	Size(stream)	Month	Coliforms	E. coli	Entero	C. perf	Area	Elevation	Ave.Depth	Max.Depth	Shoreline	Volume	WS.Area	WS.Ac.Area	WS.Frac.Water.Area	WS.Frac.Forest.Area	WS.Frac.Farm.Area	Turbidity	ColorVal	pH	Alkalinity	CODMn	Conductivity	TotalHardness	Cloride	Sulfate	Ammonium	Ammonium_nitrogen	Nitrate	Nitrate_nitrogen	Sodium	Potassium	Calcium	Iron	Magnesium	Manganese	Aluminium	Copper
Ok7.18	Oklangen-7	Oklangen	A	Point	Field	FALSE	TRUE	TRUE	Small	2-FALSEv	2419.2	1	22.1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.7.omg3	Oklangen-7	Oklangen	B	Point	Field	FALSE	TRUE	TRUE	Small	3-May	2419.2	1	45.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok8.29	Oklangen-8	Oklangen	A	Point	Field	FALSE	TRUE	TRUE	Small	1-Oct	1119.9	11	9.5	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok8.18	Oklangen-8	Oklangen	A	Point	Forest	FALSE	FALSE	FALSE	Small	2-FALSEv	280.9	4.1	87.3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.8.omg3	Oklangen-8	Oklangen	B	Point	Forest	FALSE	FALSE	FALSE	Small	3-May	461.1	1	51.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.8.omg4	Oklangen-8	Oklangen	B	Point	Forest	FALSE	FALSE	FALSE	Small	4-Aug	1732.9	4.1	2419.2	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OkIn.29	Oklangen-In	Oklangen	A	In	NA	NA	NA	NA	NA	1-Oct	46.7	14.3	1	2	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	0.65	60	7.1	7.2	9	6.4	0.88	9.5	4.9	0.026	0.02	1.3	0.29	5.7	0.79	4.5	0.15	1.1	0.033	0.087	0.00067
OkIn.19	Oklangen-In	Oklangen	A	In	NA	NA	NA	NA	NA	2-FALSEv	25.3	6.3	1	1	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.In.omg3	Oklangen-In	Oklangen	B	In	NA	NA	NA	NA	NA	3-May	25.9	1	6.3	4	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	1	61	6.9	6.7	9.4	6.5	0.84	9.6	5.6	0.021	0.016	2.4	0.55	5.8	0.75	4.1	0.19	1.1	0.015	0.14	0.00061
Ok.In.omg4	Oklangen-In	Oklangen	B	In	NA	NA	NA	NA	NA	4-Aug	1413.6	2	3.1	1	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	0.92	40	7.1	8.4	6.4	6.9	1	9.5	5.6	0.026	0.02	1.7	0.38	6.3	0.96	5.2	0.13	1.3	0.018	0.094	0.00069
OkRef.29	Oklangen-Ref	Oklangen	A	Ref	NA	NA	NA	NA	NA	1-Oct	156.5	24.6	2	5	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	0.73	54	7.1	7.1	8.9	6.4	0.94	9.5	5	0.013	0.01	1.3	0.3	6.3	0.84	4.8	0.14	1.2	0.022	0.1	0.00034
OkRef.18	Oklangen-Ref	Oklangen	A	Ref	NA	NA	NA	NA	NA	2-FALSEv	15.8	2	1	1	2.51	47.2	10.4	25	9.89	26.804	16.1	62.83	0.16	0.56	0.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
